genres,title,item_id,anio_lanzamiento
"rpg,massively multiplayer",Guild Wars Nightfall®,29580,2006
"rpg,massively multiplayer",Guild Wars® Game of the Year Edition,29540,2005
"rpg,massively multiplayer",Guild Wars Factions®,29560,2006
"massively multiplayer,rpg",Guild Wars Trilogy,29570,2008
casual,Puzzle Kingdoms,23700,2009
casual,Samantha Swift and the Golden Touch,16060,2009
rpg,Two Worlds Epic Edition,1930,2009
strategy,Helldorado,18470,2009
"action,adventure,rpg",X-Blades,7510,2009
"action,indie",Zeno Clash,22200,2009
indie,The Maw: Speeder Lane,26007,2009
"rpg,strategy",King's Bounty: The Legend,25900,2008
"casual,simulation",Virtual Families,16200,2009
racing,Death Track®: Resurrection,7840,2009
"rpg,strategy",Freedom Force vs. the Third Reich,8890,2005
"indie,simulation,strategy",Light of Altair,34500,2009
"action,simulation",Darkest Hour: Europe '44-'45,1280,2009
"action,adventure",Prototype™,10150,2009
rpg,The Elder Scrolls IV: Oblivion® Game of the Year Edition,22330,2007
adventure,Ankh 2: Heart of Osiris,12440,2007
strategy,BC Kings,12460,2008
action,Call of Juarez®: Bound in Blood,21980,2009
adventure,Nancy Drew®: Legend of the Crystal Skull,31860,2007
adventure,Nancy Drew®: The Creature of Kapu Cave,31900,2006
adventure,Nancy Drew®: The Phantom of Venice,31920,2008
adventure,Nancy Drew®: The White Wolf of Icicle Creek,31930,2007
"casual,indie",BRAINPIPE: A Plunge to Unhumanity,35800,2008
"simulation,sports",Hunting Unlimited 2010,12690,2009
adventure,Tales of Monkey Island Complete Pack,31170,2009
action,Street Fighter® IV,21660,2009
"action,adventure,racing,simulation,strategy",Thrillville®: Off the Rails™,6080,2007
action,"Star Wars: Battlefront 2 (Classic, 2005)",6060,2005
"action,adventure",LEGO® Indiana Jones™: The Original Adventures,32330,2008
adventure,The Secret of Monkey Island: Special Edition,32360,2009
strategy,Warfare,35300,2008
"action,racing",Clutch,35310,2009
adventure,Nancy Drew®: Ransom of the Seven Ships,31980,2009
adventure,Nancy Drew®: Ransom of the Seven Ships Demo,31990,2009
sports,3D Ultra™ Minigolf Adventures,10140,2006
adventure,King's Quest™ Collection,10100,2006
action,TimeShift™,10130,2007
adventure,Space Quest™ Collection,10110,2006
action,Killing Floor Outbreak Character Pack,1256,2009
"action,casual",Aces of the Galaxy™,10120,2008
"simulation,strategy",Tropico Reloaded,33520,2009
casual,Mystery P.I. - Lost in Los Angeles,3610,2009
action,Bionic Commando: Rearmed,21680,2008
"action,adventure",Bionic Commando,21670,2009
action,Watchmen: The End is Nigh Part 2,21030,2009
"action,indie",Foreign Legion: Buckets of Blood,36000,2009
"indie,casual",Osmos,29180,2009
"action,adventure",Mini Ninjas Demo,35050,2009
adventure,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,31180,2009
casual,Jewel Quest Pack,37960,2009
casual,Mahjong Quest Collection,38000,2009
"adventure,indie","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",37400,2009
action,Tom Clancy's Splinter Cell Chaos Theory®,13570,2005
"action,racing",Crash Time 2,11390,2009
strategy,XIII Century – Gold Edition,34420,2009
simulation,World of Zoo,43100,2009
simulation,18 Wheels of Steel: Extreme Trucker,33730,2009
"action,adventure",Mini Ninjas,35000,2009
casual,Freeze Tag Fun Pack #2,39392,2009
"adventure,casual,indie",Windosill,37600,2009
simulation,Train Simulator: Colton &amp; Northern Route Add-On,24029,2009
"adventure,casual",Midnight Mysteries,32140,2009
adventure,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,31190,2009
action,Joint Operations: Combined Arms Gold,32770,2009
simulation,Train Simulator: US Loco &amp; Asset Pack,208306,2009
simulation,DinerTown Tycoon,37300,2009
simulation,Train Simulator: European Loco &amp; Asset Pack,208300,2009
rpg,Risen,40300,2009
casual,Flora's Fruit Farm,35070,2009
strategy,Empire: Total War™ - The Warpath Campaign,10606,2009
"adventure,indie",Machinarium,40700,2009
action,Medal of Honor: Airborne,24840,2007
racing,Need for Speed: Shift,24870,2009
rpg,Torchlight,41500,2009
strategy,Command &amp; Conquer: Red Alert 3 - Uprising,24800,2009
strategy,The Stronghold Collection,901735,2009
strategy,East India Company: Privateer,42800,2009
action,Painkiller: Resurrection,39560,2009
"rpg,strategy",SpellForce 2 - Anniversary Edition,39550,2009
adventure,Secret Files: Tunguska,40330,2009
strategy,Rush for Berlin Gold,40320,2009
adventure,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,31200,2009
strategy,Men of War: Red Tide,3130,2009
"action,indie",Hammerfight,41100,2009
"action,rpg",SpellForce - Platinum Edition,39540,2009
strategy,Massive Assault: Phantom Renaissance,34640,2005
"action,indie",Serious Sam HD: The First Encounter,41000,2009
adventure,Secret Files 2: Puritas Cordis,40340,2009
rpg,Dragon Age: Origins,17450,2009
"action,rpg,indie",Aztaka,37100,2009
"indie,casual",Magnetis,37500,2009
strategy,For The Glory: A Europa Universalis Game,42810,2009
action,Call of Duty®: Modern Warfare® 2,10180,2009
adventure,LEGO® Star Wars™ - The Complete Saga,32440,2009
rpg,Overlord™,11450,2007
rpg,Overlord™: Raising Hell,12710,2008
strategy,Command &amp; Conquer 3: Tiberium Wars,24790,2007
"indie,casual",Yumsters 2: Around the World,29120,2008
strategy,Command &amp; Conquer 3: Kane's Wrath,24810,2009
"indie,simulation,strategy",Gratuitous Space Battles,41800,2009
simulation,Wings of Prey,45300,2009
"action,adventure,rpg",The Bard's Tale,41900,2005
action,Defence Alliance 2,35420,2009
action,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,32430,2009
rpg,Fallout 3: Game of the Year Edition,22370,2009
"strategy,indie,simulation",Gratuitous Space Battles: The Tribe,41802,2009
simulation,Build-A-Lot,38080,2007
simulation,Build-A-Lot 2: Town of the Year,38090,2008
simulation,Build-A-Lot 3: Passport to Europe,38100,2009
"casual,simulation",Coconut Queen,38070,2009
casual,Roogoo,38210,2009
"action,adventure",Devil May Cry 4,45700,2008
"action,indie,rpg",Avencast: Rise of the Mage,46410,2010
simulation,Build-A-Lot 4: Power Source,38110,2009
"action,free to play,indie","Pirates, Vikings, and Knights II",17570,2010
casual,Farm Frenzy 2,38130,2008
casual,Farm Frenzy 3: American Pie,38160,2010
casual,Farm Frenzy 3,38150,2009
casual,Farm Frenzy,38120,2007
casual,Farm Frenzy: Pizza Party,38140,2009
casual,Cake Mania Main Street™,36300,2010
"strategy,casual",Westward® IV: All Aboard,36310,2010
"adventure,casual",Iron Roses,36320,2010
strategy,UFO: Extraterrestrials Gold,37030,2010
adventure,LEGO® Indiana Jones™ 2: The Adventure Continues,32450,2010
sports,Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,34180,2010
"action,indie,racing",Super Laser  Racer,44100,2010
strategy,Hearts of Iron III: Soviet Infantry Pack DLC,25960,2010
action,NecroVisioN: Lost Company,46250,2010
casual,Cradle of Persia,38180,2007
action,Aliens vs. Predator Swarm Map Pack,10695,2010
simulation,Train Simulator: Fort Kent to Eagle Lake Route Add-On,24055,2010
"action,rpg",Mount &amp; Blade: Warband,48700,2010
action,Coniclysm,39900,2010
"action,indie",Plain Sight,49900,2010
action,Lead and Gold: Gangs of the Wild West,42120,2010
action,Grand Theft Auto: Episodes from Liberty City,12220,2010
"action,adventure",Dark Void™ Zero,45730,2010
indie,Fortix,45400,2010
"action,casual,indie",Beat Hazard,49600,2010
adventure,Sam &amp; Max: The Devil’s Playhouse,901399,2010
"simulation,strategy",M.U.D. TV,43500,2010
simulation,Wings of Luftwaffe Add-on,45302,2010
"adventure,indie",The Misadventures of P.B. Winterbottom,40930,2010
"casual,indie",Fluttabyes,23150,2010
casual,Hidden Expedition: Titanic,50940,2006
"casual,indie",Hidden Expedition: Amazon,50920,2008
strategy,Napoleon: Total War™ - Coalition Battle Pack,34178,2010
casual,Fitness Dash™,37340,2008
casual,Gemini Lost™,37390,2009
casual,DinerTown Detective Agency™,37310,2009
casual,Mahjong Roadshow™,37360,2007
casual,Hotel Dash™ Suite Success™,49000,2009
casual,Nightshift Legacy: The Jaguar's Eye™,37330,2010
casual,The Nightshift Code™,37320,2008
casual,TriJinx: A Kristine Kross Mystery™,37370,2007
casual,Valerie Porter and the Scarlet Scandal™,37380,2009
"action,adventure,casual",Biozone,19080,2010
"action,indie",Iron Grip: Warlord,31700,2008
"action,adventure",Rocket Knight,19030,2010
indie,Max and the Magic Marker,50820,2010
"action,indie",Flight of the Icarus,49800,2010
casual,Puzzler World,33650,2010
"action,adventure",Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,901478,2010
"casual,indie",Ziro,33660,2010
action,Altered Beast™,34281,2010
action,Comix Zone™,34272,2010
"action,adventure,casual,rpg",SEGA Mega Drive and Genesis Classics,34270,2010
action,Golden Axe™,34276,2010
action,Ecco the Dolphin™,34274,2010
strategy,Gain Ground™,34275,2010
action,Shinobi™ III: Return of the Ninja Master,34277,2010
action,Crack Down™,34273,2010
action,VectorMan™,34280,2010
action,Shadow Dancer™,34282,2010
action,Space Harrier™ II,34279,2010
"action,rpg",Alpha Protocol™,34010,2010
action,Alien Breed: Impact,22610,2010
rpg,Fallout 3 - Point Lookout,22440,2010
"strategy,indie",Defense Grid: Resurgence Map Pack 1,18508,2010
rpg,Fallout 3 - Mothership Zeta,22430,2010
rpg,Fallout 3 - Broken Steel,22410,2010
rpg,Fallout 3 - The Pitt,22420,2010
action,Alien Swarm,630,2010
rpg,Fallout 3 - Operation Anchorage,22400,2010
"strategy,rpg",Disciples III - Renaissance Steam Special Edition,33670,2010
"casual,indie",Tidalis,40420,2010
"action,casual,indie",Razor2: Hidden Skies,34920,2010
strategy,The Settlers 7: Uncharted Land Map Pack,48136,2010
rpg,Dimensity,46720,2008
action,Kane &amp; Lynch 2: Dog Days,28000,2010
"simulation,strategy",The Guild II Renaissance,39680,2010
strategy,Hearts of Iron III DLC: German II Spritepack,25962,2010
simulation,Trainz Simulator DLC: Blue Comet,24634,2010
strategy,Fantasy Wars,63900,2010
action,Mafia II,50130,2011
simulation,Train Simulator: Network Southeast Class 47 Loco Add-On,24075,2010
"rpg,casual",Puzzle Quest 2,47540,2010
action,Burn Zombie Burn!,50510,2010
indie,Madballs B*D*I Clan Skins,25760,2010
indie,Madballs Scorched Evolution Skin Rollup,25763,2010
indie,Madballs BDI Evolution Skin Rollup,25762,2010
indie,Madballs Holiday Skin Rollup,25764,2010
strategy,Victoria I Complete,42980,2010
simulation,Ship Simulator Extremes,48800,2010
strategy,Worms Reloaded,22600,2010
"indie,simulation,strategy",Making History II: The War of the World,46770,2010
"action,simulation,strategy",Arma 2: British Armed Forces,65700,2010
strategy,Victoria II,42960,2010
indie,Madballs Scorched Clan Skins,25761,2010
action,Kane &amp; Lynch 2: The Doggie Bag,28010,2010
action,Kane &amp; Lynch 2: Multiplayer Masks Pack,28012,2010
simulation,Trainz: Classic Cabon City,24640,2010
action,Kane &amp; Lynch 2: Alliance Weapon Pack,28011,2010
adventure,Broken Sword: Director's Cut,57640,2010
casual,Chime,62100,2010
action,Mafia II DLC: Jimmy's Vendetta,50145,2010
action,Sniper: Ghost Warrior - Map Pack,34841,2010
"action,indie",VVVVVV,70300,2010
strategy,The Settlers 7: Conquest - The Empire Expansion DLC,48137,2010
"action,adventure,indie",Amnesia: The Dark Descent,57300,2010
"rpg,indie",Recettear: An Item Shop's Tale,70400,2010
"action,casual,indie",Swarm Arena,46600,2010
"action,simulation",Super Thunder Blade™,34314,2010
action,Galaxy Force II™,34310,2010
simulation,Hacker Evolution,70100,2010
"indie,simulation",Hacker Evolution: Untold,70110,2010
"casual,indie",Faerie Solitaire,38600,2010
strategy,Patrician IV - Steam Special Edition,57620,2010
action,Bonanza Bros.™,34284,2010
"rpg,strategy",King's Bounty: Crossworlds,63910,2010
simulation,Train Simulator: Green &amp; Gold HST DMU Add-On,24082,2010
strategy,Sid Meier's Civilization® V,8930,2010
strategy,Commander: Conquest of the Americas - Colonial Navy,49310,2010
"indie,strategy",Star Ruler,70900,2010
"action,adventure",Blade Kitten,9940,2010
action,Alien Breed 2: Assault,22650,2010
action,Serious Sam HD: Gold Edition,901553,2010
"action,adventure",Darksiders™,50620,2010
strategy,The Kings' Crusade,42920,2010
"action,rpg,massively multiplayer",Guild Wars: Eye of the North®,29700,2007
"adventure,casual,simulation",Governor of Poker 2,70200,2010
"adventure,casual,indie,simulation",Governor of Poker 2 - Premium Edition,70210,2010
action,Medal of Honor™,47790,2010
"indie,rpg,strategy",Grotesque Tactics: Evil Heroes,46450,2010
"action,adventure",Lost Planet® 2,45750,2010
"adventure,casual,indie",Doc Clock: The Toasted Sandwich of Time,57800,2010
"action,rpg",Fallout: New Vegas,22380,2010
"action,casual,indie",The Polynomial - Space of the music,67000,2010
"adventure,indie",Puzzle Bots,80300,2010
"indie,racing",Nimbus,50000,2010
strategy,Civilization V - Babylon (Nebuchadnezzar II),16868,2010
"action,indie,rpg",DeathSpank,18040,2010
"action,simulation",Virtua Fighter™ 2,71115,2010
casual,Columns™ III,34317,2010
rpg,Sword of Vermilion™,71114,2010
action,Golden Axe™ II,71112,2010
"action,adventure",Sonic The Hedgehog,71113,2010
adventure,Ecco™: The Tides of Time,34319,2010
action,Bio-Hazard Battle™,34316,2010
action,Alien Storm,34315,2010
"action,indie",Shank,6120,2010
"action,adventure,indie",The Ball,35460,2010
action,STAR WARS™: The Force Unleashed™ II,32500,2010
"action,casual",Flight Control HD,62000,2010
"rpg,simulation,strategy",Patrician III,33570,2010
"action,casual,indie",BIT.TRIP BEAT,63700,2010
"simulation,strategy",Theatre of War 2 - Battle for Caen,46362,2010
casual,Woody Two-Legs: Attack of the Zombie Pirates,49320,2010
"adventure,indie",Clones,72400,2010
strategy,Victoria II: Interwar Spritepack,42964,2010
action,Front Mission Evolved: Wanzer Pack 2,43011,2010
action,Pound of Ground,33980,2010
casual,Pat &amp; Mat,65710,2009
adventure,Alternativa,33990,2010
"casual,indie",Fish Fillets 2,33950,2007
"strategy,indie",Archon Classic,65400,2010
action,Call of Duty®: Black Ops,42700,2010
"indie,casual",Rhythm Zone Tornado Visualizer DLC,38923,2010
"casual,indie",Arcadia,72500,2010
"action,adventure,strategy",Oddworld: Munch's Oddysee,15740,2010
"indie,casual",Rhythm Zone DJ Table Visualizer DLC,38924,2010
"action,adventure,strategy",Oddworld: Stranger's Wrath HD,15750,2010
"casual,indie",Clickr,45500,2010
adventure,Back to the Future: The Game,31290,2010
action,Grand Theft Auto: San Andreas,12120,2005
"action,adventure",Lara Croft GoL: Raziel and Kain Character Pack,35135,2011
"action,adventure",Lara Croft GoL: Things that Go Boom - Challenge Pack 2,35137,2011
"action,adventure",Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,35138,2011
"action,adventure",Lara Croft GoL: All the Trappings - Challenge Pack 1,35136,2011
"action,indie",Zeit²,33390,2011
"action,indie",A.R.E.S.: Extinction Agenda,92300,2011
"action,indie,strategy",APOX,80000,2011
action,Dead Space™ 2,47780,2011
"adventure,casual",Drawn®: The Painted Tower,51060,2011
adventure,Kaptain Brawe: A Brawe New World,65080,2011
"action,strategy,indie,sports",Monday Night Combat,63200,2011
"action,adventure,casual",Luxor: 5th Passage,60340,2011
action,Alien Soldier,71116,2011
rpg,Shining in the Darkness,71161,2011
rpg,Light Crusader,71119,2011
rpg,Landstalker: The Treasures of King Nole,71118,2011
action,Gunstar Heroes,71117,2011
adventure,ToeJam &amp; Earl,71166,2011
action,Streets of Rage 2,71165,2011
"action,adventure",Sonic The Hedgehog 2,71163,2011
action,Streets of Rage,71164,2011
rpg,Shining Force II,71160,2011
rpg,Shining Force,71120,2011
simulation,The Sims™ 3,47890,2009
simulation,Ship Simulator Extremes: Sigita Pack,48802,2011
simulation,The Sims™ 3 Fast Lane Stuff,47896,2010
simulation,The Sims™ 3 World Adventures,47892,2009
simulation,The Sims™ 3 Late Night,47894,2010
simulation,The Sims™ 3 Ambitions,47893,2010
simulation,The Sims™ 3 High-End Loft Stuff,47895,2010
"casual,indie",Trino,42000,2011
casual,Mishap 2: An Intentional Haunting - Collector's Edition,47570,2011
simulation,The Sims™ 3 Outdoor Living Stuff,47897,2011
"action,casual,indie",Who's That Flying?!,57700,2011
"adventure,casual",Myst: Masterpiece Edition,63660,2011
strategy,Guardians of Graxia: Elves &amp; Dwarves,90504,2011
rpg,Two Worlds II HD,7520,2011
casual,YOU DON’T KNOW JACK®,99200,2011
rpg,King Arthur: The Druids,24449,2011
"strategy,indie,simulation",Gratuitous Space Battles: Galactic Conquest,41814,2011
strategy,The Kings' Crusade: New Allies,42925,2011
"rpg,strategy",DUNGEONS - Steam Special Edition,57650,2011
"indie,strategy",AI War: Light of the Spire,40407,2011
rpg,Drakensang: The River of Time,33770,2011
strategy,RISK™: Factions,47800,2011
"casual,strategy",Crazy Machines 2: Time Travel Add-On,18408,2011
"action,indie",BIT.TRIP RUNNER,63710,2011
action,Homefront,55100,2011
"casual,indie,simulation,strategy",Fate of the World,80200,2011
indie,B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),92400,2011
strategy,"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",56435,2011
strategy,"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",56433,2011
strategy,"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",56432,2011
strategy,"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",56431,2011
"free to play,massively multiplayer,rpg",RIFT,39120,2013
strategy,"Warhammer 40,000: Dawn of War II: Retribution",56437,2011
"indie,casual",Dinner Date,94000,2011
strategy,"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",56434,2011
action,Shadow Harvest: Phantom Ops,92700,2011
simulation,Cities in Motion: Design Classics,73012,2011
simulation,Ship Simulator Extremes: Ferry Pack,48803,2011
strategy,"Warhammer 40,000: Dawn of War II: Retribution: Dark Angels Pack",56536,2011
racing,STCC The Game 2 – Expansion Pack for RACE 07,44620,2011
"action,indie,strategy",Anomaly: Warzone Earth,91200,2011
strategy,Armada 2526,46790,2010
strategy,Darkest Hour: A Hearts of Iron Game,73170,2011
"strategy,rpg",Dungeons: Into the Dark DLC Pack,57655,2011
"action,indie",Dino D-Day,70000,2011
strategy,Patrician IV: Rise of a Dynasty,57730,2011
"action,adventure",Portal 2,620,2011
"action,rpg",Magicka: Vietnam,42918,2011
"action,casual,indie,strategy",Sanctum,91600,2011
strategy,Majesty 2 Collection,73020,2011
strategy,"Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC",56482,2011
strategy,Dawn of War II: Retribution – The Last Stand,56438,2011
strategy,"Warhammer 40,000: Dawn of War II - Retribution - Farseer Wargear DLC",56481,2011
"indie,strategy",Frozen Synapse,98200,2011
strategy,"Warhammer 40,000: Dawn of War II: Retribution - Captain Wargear DLC",56480,2011
"adventure,indie,rpg",Winter Voices Episode 4: Amethyst Rivers,72905,2011
"action,adventure",Hunted: The Demon’s Forge™,22450,2011
"adventure,casual,indie",Hamilton's Great Adventure,42140,2011
simulation,The Sims™ 3 Generations,47898,2011
simulation,Cities in Motion: Tokyo,73181,2011
"action,rpg",Magicka: Nippon,73031,2011
"action,adventure",Ghostbusters: Sanctum of Slime Challenge Pack DLC,9992,2011
adventure,Still Life 2,46490,2009
adventure,Still Life,46480,2005
action,Call of Duty®: Black Ops Escalation Content Pack,42718,2011
"action,rpg",Dungeon Siege III,39160,2011
action,Duke Nukem Forever,57900,2011
"action,free to play",A.V.A. Alliance of Valiant Arms™,102700,2011
"free to play,massively multiplayer,rpg",Champions Online,9880,2009
"action,adventure,free to play,indie,massively multiplayer,rpg",Spiral Knights,99900,2011
strategy,Spectromancer - Truth &amp; Beauty,22520,2011
simulation,Cities in Motion: Design Now,73014,2011
strategy,Two Worlds II Castle Defense,7530,2011
indie,The Cat and the Coup,95700,2011
strategy,Magic: The Gathering - Duels of the Planeswalkers 2012,49470,2011
"indie,casual",Ancients of Ooga,91810,2011
"action,casual,indie",Beat Hazard Ultra,49604,2011
"strategy,indie",Frozen Synapse: Soundtrack,98210,2011
