user_id,item_id,playtime_forever
PyroCreed,20500,0
76561198052897627,20570,69
76561198081962345,50620,101
76561198039266268,55100,51
76561198094224872,55140,0
76561198073210139,56400,678
Nozomikat,475150,0
76561198076933844,96100,9
76561198072186059,35450,14194
xfluttersx,236830,0
76561198068621601,72850,2512
76561198056290589,107100,640
thompyawesomeness,57690,1815
ii_voltage_ii,91310,2078
76561198097762318,113200,1494
Hirukaz,65800,130
StelerForYou,9200,653
76561198183396245,41070,716
otteloo,48950,72
shinra420,92800,262
Xx-Woods,104700,44
kevinator23,203770,18
tonyballoney,203810,86
76561198090715178,110800,1204
CatsWhale,207610,798
Child_Vs_Puddle,98300,110
76561198073784601,50300,296
mimimomoma,204300,0
76561198102410011,1700,0
de_Butl3r,205100,1429
76561198157999555,211120,1
76561198027947401,730,23532
Bluezap1,49520,1303
76561198074200011,200260,100
jonasdbomb,212680,500
L1J1N,200710,459
Lord_Exploit,219150,0
76561198079106676,215510,0
76561198092244787,8870,2084
Sanctus94,200510,3478
76561197990792016,220240,182
76561198068415226,218680,0
AVATAR715,228280,905
76561198073987767,212070,0
Fluxxyz,218230,51
76561198092150873,236390,50
YieuwMage,3483,0
76561198078752187,203160,0
Nfkted_CS,227080,81
A-Very-Sly-Person,233450,24
76561198211054671,43160,712
76561197994493402,219740,139
Koolcaz12,322330,0
76561198065656175,222730,319
76561198188979775,241600,73
97396295,238930,159
M1ss_P1nk,217140,199
xoFushiox,39140,2896
76561198126640317,225080,0
DemonicWolvz,239030,194
DieMadchenschanderin,248820,272
76561198052784112,239350,458
76561198072706529,218620,574
76561198215949741,206420,0
GGargula,236850,89
Myther43,47790,230
getf0kinn0sc0pedm9,47830,0
76561198141443390,250320,500
76561198031924053,250900,329
76561198097333029,204450,241
dominiclim99,233270,0
whodafuqisthisguilao,251990,135
76561198072205329,253980,0
Icamebackbitches,236450,154
Magjiikal,242050,1377
ohnospaghet,257350,0
76561198060062487,213670,121
76561198050347115,238010,2176
2768820078,245470,246
76561198049968536,221910,157
76561198056392326,260230,467
2d4nk4m3,238430,77
76561198074003102,261030,567
76561198078478151,261570,39
exiaez,263980,0
BURNINGchicken3,39150,15
76561198066835162,230230,522
76561198069593452,373420,0
undietaker,232790,216
76561198095921854,237990,19
EizanAratoFujimaki,273620,848
POOTISSPENSOR,222880,3031
angorabug,225840,26
TeCool,222900,0
ZyhgarThestarweaver,280220,941
2xDelorean,236430,592
washington_,201810,599
jewxxl,294860,1735
76561198088944293,295690,0
76561198092540221,238460,407
76561198061769804,237930,154
76561198061475436,301480,0
76561198051258119,303390,0
76561198065771371,306660,1245
nubquake123,316790,42
Pyromanic,318430,0
76561198109656922,241930,889
76561198149432604,328080,5
Unplanned_stategy,282070,3
CobRazor,333930,2782
relesprit,334120,109
76561198090294067,257510,0
jimmyarcexd,319630,37
talove112345,346010,464
76561198055094875,255710,246
WitchHunter4542,232090,6494
76561198203244300,232150,0
pwrt,377160,2001
wantmahbody,340170,170
76561198115868847,391540,395
benedictcuminherbatch,396660,0
76561198031207016,337000,1159
76561198089077856,368230,83
76561198043458582,496300,0
kerim77,231430,0
smashiroshh,289130,593
shark854,268500,1495
76561198062876401,461640,0
76561198011661078,379720,793
PabloSanches,273350,58
76561197991074667,10,0
killbunny38,80,0
76561198047630659,100,0
76561198069713121,300,220
1997-07-06_J077,30,0
76561198076248461,40,0
1337lolroflmao,60,0
76561198080832419,240,62
76561198151645088,280,0
IAA_Recon_Dropbear,360,0
sithjjf,320,0
goonbagger,20,0
76561198060039459,50,0
OzfurAtlas,70,0
76561198065593074,130,0
madmax64,3910,107
76561198044169764,3920,0
euzi,4000,412
76561198074935997,6880,0
76561197961778802,2200,114
lucasrash,2270,0
76561198016602703,2280,0
76561198082845362,2290,0
76561198087767019,2300,0
thisissohardtomakeoneup,2310,16
76561198087010391,2320,0
76561198015747875,2330,0
66666669999999,2340,0
76561198061174192,2350,0
DoaFapbeforeaNap,2360,0
ReMiXOfficalSteam,2370,0
Wilfire77,2390,0
76561198042730234,9000,0
76561198069159579,9010,0
76561198086476445,9030,0
76561198085016240,9040,0
76561198060808273,9050,0
76561198084390807,9060,0
76561198003688205,9070,0
Mastic,9160,0
Scooterinooo,9180,0
76561198028286104,4760,51
76561198088447673,220,750
tarjla,340,21
deathnz1,380,181
readingthis4noobs,400,169
SonicMCGamer,420,295
xXBoss1Xx,2590,0
76561198084698198,4230,0
76561198104393251,4290,0
Borne901,12900,291
76561198075322986,8600,0
redsncrimson,8660,0
76561198151910904,44630,0
H1DD3NT3RR0R,15310,544
76561198071214618,17100,0
76561198115115631,17120,8
sisiiik,21000,17
76561198071175142,500,0
t8s,18500,144
pikawuu2,17470,0
Sammeh00,24740,23
godlike_bot,27000,75
76561198044204914,22200,71
dpswaffles,23700,817
NoObFiGHtEr,1250,428
Michaelele,35420,0
76561198045754869,22330,230
76561198076098774,9870,0
76561198074963071,32370,0
76561198103253374,12830,0
76561198048417105,24800,35
76561197989175394,20900,75
76561198090842891,17450,0
76561198058706736,40200,0
76561198055767971,40210,0
76561197998052647,24980,0
adohya343,46000,77
76561198145436942,39900,0
jjas01,33230,1412
3xotic26,8190,0
iamthetrashlord,46410,0
nothingheretrustme,33220,48
76561198071253729,3900,84
3dster,34440,0
76561198041808338,20820,0
76561198016685643,33930,0
_za,219540,0
76561198035588228,17410,0
76561198079990063,48800,0
Forty-Nine,57300,0
76561198051017916,70100,84
L4M1NAS,70110,124
emurphy8,70120,0
76561198096766604,8930,748
Sephirical,9940,224
76561197995322437,23490,0
imsojipper,57600,1198
76561198066840831,60600,0
76561198096220900,33950,0
76561198084542731,22380,18
fullswag0to100realquick,12210,6
76561198061913628,12220,0
76561198102121026,47810,41
76561198023094381,39670,0
76561198103671881,90100,0
mrpfresh,63700,101
GamerFag,55140,0
76561197970628046,31280,311
76561198013858002,72200,163
76561198058570014,40800,60
76561198045133986,48950,77
CocoRichy,65070,0
EHS-R3AP3R,4540,0
76561198002820828,475150,0
chidori_647,31700,0
76561198092227136,21100,0
76561197975388604,42910,205
hellcat59,92800,55
76561198007584361,48210,22
tbimperator,91900,74
Allahu_Akbar666,70000,104
ulramite,91600,43
76561198080534850,41740,0
-GM-Dragon,620,3464
LeoRocksAce,104200,220
76561198054040292,22600,0
76561198078799606,22610,0
76561198155458511,20920,1343
76561198045065985,92100,215
I_DID_911_JUST_SAYING,105600,4694
76561198077035732,104600,46
76561198072625764,98500,0
A_Je_100,94200,0
imagoatieatpoo,7600,0
750805,37100,0
76561198080881726,21090,0
Thatishayden,21110,0
76561198033864626,21120,0
Flabbernackle,16450,0
diabeticfuck,97000,0
magicalpony,39530,0
76561197962104795,3270,0
76561198054465623,15900,0
76561198074257942,15910,0
aaropro,15920,0
Aaron_ggf,15930,0
76561198074324939,15940,0
abhorence,15950,0
abiam,15960,251
76561198037346576,15970,0
FrankoWalker,15980,0
LightfootSword7,16000,0
DaDanMan,16020,0
SALTTHEW0UND,16030,0
abuffalostuckinatree,16040,0
express157,16060,0
76561198070215484,32110,0
76561198074644990,32120,0
76561198064304806,32130,0
3456457568,32140,0
76561198045776691,32160,0
TomoeMamiewe,60340,0
76561198057086148,22650,0
Acidius99,50130,0
76561198067150343,98800,75
acorn13,22230,75
adamcookie,34830,0
AddzyTheBaddzy,96100,35
mrfunkyjunkie,61100,0
76561197997824340,32800,0
76561198076154360,107100,84
76561198055524901,65790,0
mradobe7,107200,86
zomboy151,111800,95
76561198167207237,28050,2159
cancerkek,17710,143
matto1499,63000,0
76561198073508075,102840,194
76561198074323290,55230,4326
76561198090899557,3830,93
76561198072468669,115100,101
Advancebest,80310,74
advenger95,65800,33
EndAtHallow,65730,0
76561198060820384,201280,71
76561198063624801,110800,0
aeryal,71340,0
vault_brothers,72850,13831
After2night,48240,723
76561198029090446,41070,112
76561197968819541,61310,0
76561198070263209,24480,0
76561198015968275,1600,0
defender_10,205790,0
76561198006540520,41900,0
Agiegamma,105450,285
76561198082614708,8650,0
76561198066465411,48000,0
Agronoth,115110,164
UnholyFallenAngel,207170,0
Ricardio556,207650,116
madgamerzzz,108200,0
76561198068565589,102600,0
SlutOnTheSpit,208600,57
76561197974897475,209610,0
WestyGaming,15560,0
76561198031278382,209360,0
NaruseAiria,50510,0
airro,207690,0
76561198265081359,210150,0
RemixEbola,207610,793
76561198046844795,205610,102
76561198067713802,205350,0
76561198187212131,104900,120
76561198044678148,205530,0
rjh91,3990,0
Alex680,8800,0
alansiulun,16810,0
whitewolfang1,34450,0
Albolah,34460,0
76561198003056556,211360,136
76561198063941075,200260,1066
76561198088886304,98400,0
maxpaynepillkiller,204180,220
AlexNoClutch,108800,36
Alexwai04,207730,0
76561198056092813,204100,140
76561198095481910,207080,281
76561198060059014,209790,0
76561198089024454,213330,0
76561198034129825,211120,4
76561197994664479,212010,0
76561198164545985,214360,99
tninjat,234740,0
76561198068935240,201790,406
76561198091368975,35140,727
76561198036955150,113200,121
76561198018840908,204300,499
AlkalineDeath,108700,10
76561198075935236,204220,0
Vigilante8,202170,1195
Jupeter117,49520,266
gsgg,33600,0
76561198075258452,214790,0
Jesusunholy,72000,63
mintifreshbadger,215510,0
HenryCT,200510,192
AlpacaRevolution,218640,122
76561197996305896,209540,58
AlphaBryn444,212680,748
76561198071952798,214560,268
76561198009001563,206440,61
76561198016753953,220780,0
smegmyfoodle,204360,114
76561198141882120,221260,0
altas2011,215790,0
silentbroadcaster,200710,106
76561198057869849,219910,103
76561198058836921,220860,219
lol_ursuchanoob,65740,0
rhysf,4700,100
76561198098156489,10500,55
AMLN,34030,60
76561198040021446,34330,178
ShadowBall4011,211160,1
76561198035890730,217060,0
AMV72,43100,0
76561198069170979,219150,218
76561198085956238,205100,696
76561198132540690,217790,0
711armageddoncarmageddon,218680,195
76561198058301224,223220,105
76561198055326484,4920,103
76561198034868596,33670,0
AncientBlade,218740,0
Andraison,219950,0
76561198048401235,38600,194
76561198055790408,224900,0
76561198050465176,223470,114
76561198026258913,220240,1643
76561198069560699,223630,88
76561198099625419,203140,227
someone6245,205930,0
76561198084032274,4560,26
76561198030772859,9340,0
Angrovar,20540,0
AngryAinsley,43110,0
76561198069005048,50620,0
-AnimeIsMyThing-,55110,0
uradumbtit,228200,0
76561198037038784,17460,299
IKillNoobsFirst,209190,124
76561198037888300,226120,0
operationblueberry,221640,21
1234865654,34870,0
76561198040925596,224420,126
antacy,105000,0
76561197992148038,221300,70
76561198084123358,209950,239
76561198034942509,4570,256
76561198032377745,71230,14
capitaomurilao,71240,0
Apachehavoc,71250,0
ApexNZ,71260,0
76561198039441595,222980,0
76561198036687918,200900,0
Apollopepsi,35720,100
benjamin27,209270,15
AppoGetsSuperAdmin,224700,20
ARRIVE,227300,551
76561198071475367,204080,152
r3ap3r78,219890,80
Aquilares,223850,26
76561198049916759,286080,68
76561198065064829,224580,0
XABLAUziitu,225260,436
76561198012909706,218060,185
aarcanicuss,217920,0
dragonchief,227260,28
76561198040530605,203160,1142
76561198060989765,232950,0
76561197974500703,230150,0
76561198047185525,225420,84
mestuajix2,234490,157
76561198067188826,227080,0
ArcticTek,233740,169
76561197974465310,233450,679
sweep6060,235360,142
76561198090279813,234900,160
bilyitu,233720,137
76561198021244661,234710,450
76561198088538797,220900,47
76561198089844789,210770,121
76561198072861800,113020,116
deployablearchnagel,22300,0
rotflmaoman,235250,63
76561198088670023,219740,75
76561198081028176,322330,420
76561198093106303,224760,0
ArmouredForBattle,234650,224
armouredmarshmallow,204450,369
darrenfordfalcon,236730,53
76561198020928326,233270,75
76561198045570160,215690,102
arockstar28,222730,78
Array71,57640,0
alexms69,236090,73
76561198039874575,18490,0
arronlim13,268540,96
76561198042389215,231160,59
76561198006534186,231740,82
artej96,41800,135
ARTHERDUNGER10,242760,118
Mackus1011,242800,55
76561198041877981,242920,20
ARZARNAR,243120,109
76561198089950447,228960,229
sontersaurus,242110,83
darkmassieh,238050,0
Boomblasty,95000,180
asianturtlefrenzy,201420,65
Edmund28,237530,0
blowjobsfurdayzandgayz,33910,0
76561198082992295,244770,15
LaLocaDeLosDulces,244850,218
76561198096064761,244890,219
76561198064352761,9480,30
assassin_warman,40390,178
76561198019431054,225640,0
Astrelt,91310,179
bakhtiar93tiarstudio,246420,110
bobjimmy007,40300,140
76561198091740831,207930,0
76561198095380303,234390,55
AtomicWoodchuck,246680,0
76561198050251204,246900,272
76561198052003136,255520,0
omgihaveawebpage,265210,0
Swish0009,247020,90
76561198030943851,214770,101
Aurora99,241620,216
76561198053071988,225080,0
minionking,244070,106
76561198083375450,239030,349
scroopy22,243780,288
76561198078730600,244590,75
76561198076984454,248370,0
76561198091054851,248470,157
iDestrix,248490,0
auzmoz,248710,0
auzzie_96,248820,235
76561198009353440,218620,139
76561198082020576,206420,1943
fatrangacuntnolifevirgin,47790,0
helvisavillon,47830,0
76561198080015704,209000,1412
76561198040602004,239820,117
76561198082959786,250260,212
76561198064150679,250320,766
76561198110293299,250460,0
cam5699,250580,75
de_triggered,214550,81
76561198071748311,111900,47
76561198045888087,251530,61
azzydazzy,251610,84
76561198048900256,252010,359
76561198000392178,252170,213
Azrafael,252310,117
-Azsael-,252370,62
76561198076301023,252490,219
arewefaded,252570,133
wolfhunter,252830,197
76561198065247809,252910,0
76561198046512409,253130,0
76561198086081043,253410,0
hoarbiscuit,253630,322
bohgeraltofrivia,253650,183
TeH-B-Rad,253880,0
BAW_Killer,259280,0
moriceplease,259300,0
gamerdude7892,3370,0
76561197970168558,3390,0
Arsenal_,3480,0
timothyshen,3600,0
76561198227794828,78000,0
2ez4medick,3540,0
76561198118595651,3590,21
BBBirb,3620,0
AgentXiri,255320,197
76561198018950738,241540,645
76561197998761331,224860,75
hamfritta,58520,0
76561198064579722,204560,0
76561198096750939,208730,0
potatoskins,209730,0
crispymemesmantheyremyfavourite,219780,0
76561198044593618,231140,2
76561198074409406,58610,0
76561198051433041,205650,85
76561198156282807,255870,198
76561198049617612,29900,0
H-Alo,91100,0
76561198042365104,207040,0
76561198075444114,217690,58
420Blz,57690,1943
76561198076548816,57740,135
76561198026741163,245620,151
76561198075039895,247120,0
chillrend,242050,2137
76561198218877443,239160,289
76561198070149038,233130,116
76561197994407780,213670,0
76561198035548591,9350,0
76561198068765460,9420,0
BarretaJrs,39650,11
Gborges,39690,0
lukeyturley,50650,0
SergeantBash111,65530,0
76561197980751730,214870,135
76561198071872532,257690,423
PolygonCloud,257830,179
ZUERA12,209390,278
76561198083661294,231720,108
76561198043660058,233210,0
76561198095142204,235800,73
BOB_200,45500,88
76561198070735033,258880,0
76561198018560501,258890,142
76561198069458790,258950,75
76561198010642927,238010,2963
76561198051148175,259390,126
76561198047208452,259530,0
bcott,259570,0
rangi92,259620,95
generalale,259780,278
76561198027831921,212480,107
76561197992830435,259870,248
brendoboy,259890,7
76561198071234254,221910,229
76561198165870150,244090,102
76561198083049918,261030,50
76561198072652548,207750,0
76561197988934555,3020,94
Infixation,252150,124
76561198071162228,262260,59
brodo764,221380,182
76561198047304525,262830,545
76561198068855162,263080,214
76561197998217937,263280,446
76561197994969639,367690,0
76561198200015694,263360,74
76561198064016444,263520,322
minecraft123,263700,0
76561197960694096,263980,224
JuanManSnipez,264140,277
Ben_Andy,264280,173
Bennysaputra,264300,77
76561198067021476,260750,0
76561198190487725,260770,0
76561198045071942,264730,73
76561198027081791,70210,0
Bhappiikhat,265870,234
76561198027046431,265930,95
76561198087471896,266010,141
76561198082863312,266330,96
76561198063323473,266390,14
Ahahahahahahahahahahahahahahaha,266840,326
BITCHPLESE,266940,35
Too_1337,267060,214
76561198069143001,267600,3
76561198074755143,267610,0
limabeansaregross,267960,0
ChunkyAsCharged,268650,0
76561198075175410,268830,114
76561198045214274,268850,177
kinglemon1222,269270,178
76561198050404009,270190,115
76561198030636321,270330,244
76561198007342405,270550,219
IJustWantedToTalk,550,83
76561198081885254,223530,0
76561198034643189,7670,0
LlamasInNigjamas,8850,0
mavros88,8870,111
76561198048370750,409710,166
76561198035363871,409720,0
76561198080148967,267670,66
Hummingsenpai,270750,57
bioturdz,270760,58
76561198018845815,96200,306
CHAAANG,237950,0
76561198056980314,65780,0
76561198077586769,260210,133
76561198043296029,272990,0
76561198048737111,273760,0
bitmat,273940,0
76561198030806320,208670,0
76561198028483487,224480,180
Ghoster09,11450,0
76561198081496844,12710,0
180577,12770,0
BlackHeart,44340,0
76561198105387448,12810,0
76561198078725425,44320,0
Barridos,201700,0
76561198053775195,321040,75
Blackhawk611,222880,55
MRSALM0N,274560,163
76561198090119638,275080,55
76561198039778856,275490,141
76561198035782795,225840,0
76561198077278011,277430,72
76561197988863895,277500,136
76561198077116471,277590,0
76561198007478325,34800,0
76561197988976770,10270,0
76561198042728201,222900,0
76561198171166530,279140,321
hbk1462,281410,0
76561198088724903,281690,37
BurntBlizzardZ,246620,224
blocks477,282100,382
76561198044500343,282140,345
76561198057521157,282440,0
76561198053766465,282800,233
76561198083368833,283040,319
76561198057389499,283180,140
FHK,283390,267
76561198082282442,283880,0
Blue333,283960,321
76561198030735076,286320,258
Bluegills,286500,199
76561197970931849,286540,0
BlueWombat5242,231430,105
76561198066253111,258180,193
rrbr,287840,234
13lazer,288160,213
76561198070259755,289650,1974
76561198044344399,233290,516
76561197999613236,289760,456
RespekPlox,291170,135
76561198062288797,291270,209
76561197989449545,292410,55
bobseagull,115210,0
bobsterman,4880,0
76561198068305940,115200,0
bokkkbokkk,294020,381
bokkkbokkk,294230,179
Bonesdontrattlethem,201810,0
76561198062403736,294530,8
76561198073642113,294670,7
76561198055648263,3050,0
boogs17,200370,0
76561198086083118,296470,113
76561198211433640,296630,0
76561198047032085,35450,129
ilyjoepoe,236830,0
Mantrouminati,238460,323
Gameguilder,299580,0
76561198064747645,300550,252
SamoanTurtle,1500,0
Booyahoo,1510,0
hididdlyhoe,1520,0
76561198049456280,1530,0
knuckleface,300820,0
76561198027225504,301190,255
dicksoutforboromir,301200,179
dropssdrop,286690,223
76561198041245503,287390,219
kafugax,301480,35
probotsteve,302120,217
76561198094177304,302130,0
76561198069093971,302460,0
76561198060697096,244160,247
76561197977543317,303390,75
boydo,304460,233
BrutalLegend69,306020,126
76561198007539695,306040,224
76561198064026657,250400,58
76561198024450886,306350,245
76561198057745573,306410,234
saint556,202090,77
Brayneeah,63380,172
xythesis,307050,224
76561198068581244,307230,167
BreadCommanderz,307760,0
76561198079362142,308330,0
brettebear,237850,333
76561198040467357,311850,0
metiqu,312280,11
Brianseb,316080,224
restinspaghettineverforgetti,317250,237
spike_heart,317400,494
brocky0405,317610,206
76561198046094676,253510,342
76561198087095625,318100,316
Vladimirputinisgreatman,318230,301
76561198082582573,318350,0
76561198053917005,318950,0
76561198067729563,319230,186
76561198071647862,319270,55
Br0wni3,319400,0
76561198088957798,319970,227
76561197988846047,320300,0
sdarkneeds,241930,1630
76561198046611233,45100,110
76561198079351819,289930,217
Brutaka3,7860,0
76561198093381429,46250,0
76561198085582521,287450,132
76561198065166613,323320,218
bobcookies69,241260,691
1522188745,323430,0
76561198110065267,302510,488
thebtb,214490,279
MoniqueTron,221540,414
76561197961454067,307690,0
76561198059167106,326190,218
76561198105270589,245300,364
notbudds,286880,218
Trutle,297860,399
BugsyBro,301760,0
76561198041518533,301980,278
76561197989359805,311770,343
76561198078414685,315440,399
UNI-Juan,316030,286
Jyep,316260,278
76561198025636863,316320,0
76561197978008006,317580,0
76561198074561346,319170,279
76561198094074209,322600,421
76561198054155652,327740,279
76561198036974255,327370,0
76561198020272265,327860,0
743748734,24240,136
burnilovescod,328880,0
BurningCassette,329650,0
R62153,329830,55
76561198087011672,329950,213
BushyGoom,211420,15
busternut,330350,214
76561198075981950,330370,0
76561198105846578,330660,219
Butteryyy,330840,0
76561198079326390,730,265
76561198142749308,331790,214
897w463824638109276,305620,37
76561198000468907,332480,214
Butterz,332710,184
8789568,333740,222
LondonKeyes,334620,181
76561198112547239,334840,242
ByzGirl,335200,262
tongtel,335240,8
noblezinho,337420,182
76561198055646476,257510,194
76561198097794993,339200,245
C13GE,319630,1299
C14M8S,339800,247
1122305938,340070,231
76561198069050565,340300,199
Cabey64,340310,213
Cabjoy,341080,0
76561198082278758,341150,261
76561198053685392,341500,380
Stormaggen,341550,217
gusvu,342360,203
76561198059718900,343390,170
Punixa,335660,202
76561198045679186,344030,0
76561198051084367,344040,218
76561198044402508,344790,243
76561198081987102,215080,0
76561197996741396,301910,437
calii,345440,271
76561198084718144,346010,51
76561198077034833,346040,177
calypto52,346110,1
camduman,407530,0
camquarter,346140,55
76561198056859428,346290,0
aquelecaraqfazaquilo,346900,60
Camothecomando,347350,0
76561198079009374,347360,0
76561197992910116,347370,0
jonjon4351,495400,0
76561198043609375,347430,244
CandlewickNZ,347590,63
76561198071651813,347560,218
76561197989083035,348360,240
76561198008551473,348670,202
76561198039236799,349260,337
ThePyrite99,349500,158
76561198062276935,351340,319
76561198097295378,351490,249
76561198036996272,352190,179
8m96,331160,0
76561198048121243,331450,0
CAPTAINVRITRAS,331750,0
ConkerBirdy,331970,0
76561198078194423,332260,0
76561198067657905,338300,0
76561198070072786,339040,0
76561197966764681,340990,0
76561198069606031,343140,0
76561198007988939,353640,329
CapyOfficial,311560,790
ca_ra_cal,354500,0
76561198067721589,354510,0
gsteambath,354520,0
76561198049715896,354530,0
76561197996092338,354540,0
carouserwhite,354550,0
76561198077709322,494710,0
76561198045631910,354640,0
76561198063633577,355150,232
76561198060576252,255710,126
76561198078670623,355950,0
Lord_Casso,356040,314
76561198058789410,356570,233
76561198050876555,359040,182
76561198059948130,359050,218
76561198038766477,359320,0
76561198070087725,360590,118
76561198055483848,360640,285
76561198042335464,360730,278
azkhernan123,360750,0
76561198052180785,361160,178
fsfs546hd,361190,259
CCcorye,361400,316
76561198045283919,47780,0
76561198081438874,362620,29
76561198078509867,346680,0
76561198046848291,362890,338
WeabDestoryer,363460,233
76561198072411281,363490,215
76561198032143135,363600,573
CrazyGiraffe71,364270,214
76561198162056324,365450,266
76561198240923172,366990,0
cgoober2000,238370,282
Chacob,397080,0
24902,363580,217
phoenixbasileus,370510,225
chalkmetal,370550,228
kggj,370640,0
asdasdfsadgdfhfgjggj,371420,340
76561198060996316,371500,0
elheat,371510,284
bobjames1234,371670,232
ElementalGodChaos,372030,246
76561198077997574,373110,286
76561198081095968,375250,247
76561198065784635,375460,265
76561197971917242,375510,220
melonmaniac,267750,307
76561198083201608,376870,229
76561198048491595,312530,229
76561198074108172,380700,258
charmaps5,208650,1851
76561198028094250,267490,122
mexz1999,383330,220
IchMasKung,383560,0
HoxtonPleaseDontSueMe,383800,358
76561198051215704,384480,225
76561198058842042,383870,533
76561198074291619,384740,220
cheetahpocalypse,367580,221
76561198067182841,385080,314
Axzothrift,385830,389
76561198066003101,386330,0
76561198283109848,387840,182
76561197960281419,388080,5
Chermoil,388160,0
Urtle1,391070,241
76561198069408134,391540,330
76561198049867810,391420,220
harharharharhar,394310,364
76561198074235306,394540,211
pussyhunter121,395270,0
76561198077733060,396260,0
DimSums,398710,235
76561198091638558,399430,215
76561198076375452,402670,0
76561198040845885,403560,250
chicken_tonight,403570,222
chidvd,403900,235
76561198056960847,403740,218
76561198024006038,404480,0
chillifuzzball,405640,216
76561197994523427,408940,0
76561198052700471,410210,225
76561198097450390,411960,1
76561197981448997,412600,215
76561198064984988,413150,275
76561198061569624,272890,0
aerpub,415420,278
76561198078733772,416080,202
76561198061273070,416550,219
Isiswannabe,418070,224
SmeshDoge,418910,414
Chockie,2700,0
76561198065663269,285310,0
76561197961840584,285330,1
chronoris,427520,1115
76561198080622032,431240,0
76561198037342853,432020,212
76561198060835696,440430,0
76561198062869989,440431,0
harrisonnorris,440432,0
zaper151,440433,0
76561198018913829,440434,0
StrikerAustralia,440435,0
pongping7,440436,0
76561198142474106,440437,0
Los_Shmurdos,440438,0
ciborg2000,433950,221
76561198087555027,264240,218
Mikinmash,438010,218
76561198060510583,438020,0
76561198074561107,438030,223
76561197976842635,438080,217
76561198046034574,438180,186
Norf_Norf,310380,0
JohnEverywhere,439260,0
76561198041840982,4720,0
76561198056339034,34270,0
76561198105020268,203750,0
76561198005413640,444480,222
