,genres,title,tags,specs,price,early_access,item_id,developer,anio_lanzamiento
17347,"adventure,indie",Quern - Undying Thoughts,"adventure,indie,puzzle,first-person,exploration,atmospheric,story rich,singleplayer,difficult,mystery,relaxing,walking simulator,point & click,great soundtrack,casual,surreal,steampunk,classic,drama,open world","single-player,steam achievements,steam trading cards,captions available,partial controller support",24.99,False,512790,Zadbox Entertainment,2016
21807,"indie,strategy","Warhammer 40,000: Regicide - Soundtrack","strategy,indie","single-player,multi-player,cross-platform multiplayer,downloadable content",2.99,False,401270,Hammerfall Publishing,2015
9272,"free to play,massively multiplayer,rpg",Tree of Savior - Reset Pack for NA Servers,"free to play,rpg,massively multiplayer","mmo,downloadable content,partial controller support,valve anti-cheat enabled",9.99,False,682380,"IMCGAMES Co.,Ltd.",2017
5433,"casual,indie,strategy",Crown and Council,"strategy,casual,indie,free to play","single-player,local multi-player",Free,False,444250,Mojang,2017
3814,"action,indie",Dandy Original Soundtrack,"action,indie","single-player,shared/split screen,cross-platform multiplayer,downloadable content,steam achievements,full controller support,steam trading cards,stats",1.99,False,390060,"wefiends, Inc.",2015
26805,"action,casual,strategy",Check vs Mate,"strategy,casual,action,chess","single-player,multi-player,local multi-player,partial controller support,steam cloud",19.99,False,211070,Targem Games,2012
9721,"action,adventure,indie",White Day - Horror Costume - Hee-Min Lee,"action,adventure,indie","single-player,downloadable content,steam achievements,steam trading cards,in-app purchases,partial controller support,steam cloud",1.99,False,687120,SONNORI Corp,2017
4080,"casual,indie",Over The Hills And Far Away - Official Soundtrack,"indie,casual,war,comedy,historical,anime,atmospheric,cute,romance,drama,america,adventure","single-player,downloadable content",3.99,False,397490,"WarGirl Games,Seycara Music and Arts",2015
7662,simulation,A-10C: Basic Flight Training Campaign,simulation,"single-player,downloadable content,captions available,partial controller support",9.99,False,555531,Maple Flag,2017
2008,"free to play,indie,strategy",DRAKERZ-Confrontation,"free to play,strategy,card game,indie,trading card game,action","single-player,multi-player",Free to Play,False,266030,Peoleo Entertainment,2014
20957,"action,free to play,massively multiplayer,simulation,strategy",MechWarrior Online™ - Light ‘Mech Performance Steam Pack,"simulation,free to play,action,strategy,massively multiplayer","multi-player,mmo,downloadable content,steam achievements",29.99,False,412240,Piranha Games Inc.,2015
2753,"action,adventure,indie",Do Not Fall,"adventure,indie,action","single-player,multi-player,steam achievements,partial controller support,steam leaderboards",9.99,False,333130,XPEC Entertainment Inc.,2014
744,strategy,Hearts of Iron III: Dies Irae Stars &amp; Stripes Spritepack,strategy,"single-player,multi-player,downloadable content",1.99,False,42905,Paradox Interactive,2012
8110,action,CHAOS CODE -NEW SIGN OF CATASTROPHE-,"2d fighter,action,fighting,anime,singleplayer,cute,e-sports,difficult,controller,local multiplayer","single-player,multi-player,online multi-player,local multi-player,shared/split screen,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",19.99,False,536560,"FK Digital,Arc System Works",2017
12472,"action,indie",Depth - Quill Goblin Skin,"gore,indie,action","single-player,multi-player,online multi-player,downloadable content,full controller support,valve anti-cheat enabled",5.99,False,728600,Digital Confectioners,2017
26286,"action,adventure",Tomb Raider: Headshot Reticule,"action,adventure","single-player,multi-player,downloadable content,steam achievements,full controller support",0.99,False,208803,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
18290,audio production,Rytmik Ultimate – Rock Expansion,audio production,"single-player,downloadable content,steam achievements,steam trading cards",5.99,False,525970,"CINEMAX, s.r.o.",2016
2492,"action,adventure,indie",Crow,"action,adventure,indie",single-player,9.99,False,323430,Sunside Inc,2014
27238,strategy,Hearts of Iron III Semper Fi: Dies Irae Götterdämmerung,strategy,"single-player,multi-player,downloadable content",0.99,False,42902,Paradox Development Studio,2011
535,"free to play,massively multiplayer,rpg",Champions Online,"free to play,superhero,massively multiplayer,rpg,character customization,mmorpg,open world,action,multiplayer,third person,co-op,adventure,comic book,singleplayer,sci-fi,fps,action rpg,online co-op,pvp,controller","multi-player,mmo,co-op,steam achievements",Free to Play,False,9880,Cryptic Studios,2009
13413,"massively multiplayer,rpg",Guardians of Ember,"rpg,hack and slash,massively multiplayer,mmorpg,action rpg,action,isometric,loot","online multi-player,mmo,online co-op,steam achievements,steam trading cards,in-app purchases,stats",14.99,False,463680,Runewaker,2017
26029,simulation,DCS: UH-1H Huey,"simulation,flight","single-player,multi-player,downloadable content,captions available,partial controller support",49.99,False,240500,Belsimtek,2013
13878,"indie,rpg,strategy",Fantasy Grounds - Death Comes to Stoneholme (PFRPG),"strategy,rpg,indie","multi-player,co-op,cross-platform multiplayer,downloadable content",6.99,False,646260,"SmiteWorks USA, LLC",2017
26787,"action,indie",Miner Wars Arena,"action,indie",single-player,4.99,False,219070,Keen Software House,2012
15627,"design &amp,illustration,web publishing",RPG Maker VX Ace - Aztec Character Pack,"design & illustration,web publishing","downloadable content,steam trading cards,steam workshop",6.99,False,618770,KADOKAWA,2017
20890,"indie,strategy",Puzzle Strike,"strategy,indie,board game","single-player,multi-player,cross-platform multiplayer",14.99,False,386740,Sirlin Games,2015
13474,"free to play,simulation",Microtransaction Simulator,"free to play,simulation,memes,satire","single-player,steam achievements",Free,False,689090,chlsea,2017
14868,"action,free to play",Sniper Fury,"free to play,action,shooter,multiplayer,fps,sniper,singleplayer,first-person,open world,violent,gore,co-op,massively multiplayer,adventure,online co-op,comedy,great soundtrack,funny,controller,indie","single-player,in-app purchases,partial controller support",Free to Play,False,591740,Gameloft,2017
27386,"simulation,strategy",Theatre of War 2: Centauro,"strategy,simulation","single-player,multi-player,downloadable content,steam cloud,includes level editor",1.99,False,46342,1C Company,2009
15108,simulation,TS Marketplace: LMS P1&amp;P2 BR Maroon Coach Pack Add-On,simulation,"single-player,downloadable content,steam achievements,full controller support,steam trading cards,steam workshop,steam cloud,steam leaderboards",4.99,False,513113,Matrix Trains,2017
12153,"design &amp,illustration,early access",Portrait Wizard,"early access,design & illustration,indie,software,rpg,pixel graphics",,19.99,True,685300,Kmany Design,2017
9321,"action,casual,indie",Vostok Inc.,"casual,action,indie","single-player,steam achievements,full controller support",14.99,False,656460,Nosebleed Interactive,2017
6039,"action,adventure,indie,rpg,simulation,strategy",Disgraced Revolutionary's Edition DLC,"strategy,action,adventure,rpg,indie,simulation","single-player,downloadable content,steam achievements,steam trading cards,captions available",1.99,False,488320,Corrosive Studios LLC,2016
3465,"adventure,indie",Rituals,"adventure,indie,point & click,puzzle","single-player,steam achievements",4.99,False,359190,Tymon Zgainski,2015
2420,"rpg,strategy",Endless Legend™,"strategy,turn-based,4x,fantasy,turn-based strategy,hex grid,multiplayer,singleplayer,indie,rpg,great soundtrack,sci-fi,adventure,tactical,medieval,grand strategy,exploration,open world,atmospheric,sandbox","single-player,multi-player,online multi-player,cross-platform multiplayer,steam achievements,steam trading cards,steam workshop,partial controller support,steam cloud",29.99,False,289130,AMPLITUDE Studios,2014
22299,"action,indie",Zenzizenzic,"indie,action,bullet hell,twin stick shooter","single-player,co-op,steam achievements,partial controller support",9.99,False,327500,bitHuffel,2015
25973,"adventure,indie,rpg,strategy",Chainsaw Warrior,"strategy,board game,rpg,indie,adventure,games workshop,card game,singleplayer,zombies,difficult","single-player,steam achievements,steam trading cards,steam leaderboards",4.99,False,251710,Auroch Digital,2013
2029,"indie,rpg",Fantasy Grounds - Basic Roleplaying (BRP) Ruleset,"rpg,indie,turn-based,fantasy,story rich,sandbox,online co-op,software,strategy,utilities,party-based rpg,game development","multi-player,co-op,cross-platform multiplayer,downloadable content,steam workshop",24.99,False,303331,"SmiteWorks USA, LLC",2014
23084,"action,indie",Jump/Boxer,"action,indie,platformer,retro,pixel graphics","single-player,steam achievements,partial controller support",0.99,False,365330,Blaze Epic,2015
20526,"adventure,indie,rpg",The Quest,"rpg,indie,adventure,dungeon crawler,first-person,grid-based movement,open world,retro,fantasy,singleplayer","single-player,steam achievements,steam trading cards,steam workshop,steam cloud,includes level editor",9.99,False,428880,Redshift,2016
2507,"action,indie,rpg",Drifting Lands,"indie,action,rpg,shoot em up,singleplayer,bullet hell,sci-fi,hack and slash","single-player,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",18.99,False,322750,Alkemi,2017
8742,"action,casual,indie",Spacecats with Lasers : The Outerspace,"action,indie,casual","single-player,steam achievements,full controller support,steam trading cards",2.99,False,562310,"Bitten Toast Games Inc.,Guilherme Cunha,Thiago Adamo,Daniel Snd",2017
8116,simulation,Train Sim World®: CSX Heavy Haul,"simulation,trains,realistic,open world,driving,singleplayer,casual,relaxing,action,building,atmospheric,america,first-person,multiplayer,fishing,walking simulator","single-player,steam achievements,full controller support",39.99,False,530070,Dovetail Games,2017
7979,indie,Water Heroes: A Game for Change,"indie,puzzle,great soundtrack","single-player,steam achievements,steam trading cards,steam cloud,steam leaderboards",4.99,False,530010,Insignio Labs,2017
21159,"free to play,massively multiplayer,rpg,strategy",Might &amp; Magic Heroes Online,"free to play,strategy,massively multiplayer,rpg,action,turn-based,adventure,multiplayer,mmorpg","single-player,multi-player,mmo,co-op,steam trading cards",Free to Play,False,336520,Blue Byte,2015
17262,rpg,The Dwarves - Digital Deluxe Edition Extras,rpg,"single-player,downloadable content,steam achievements,full controller support",10.0,False,545070,KING Art,2016
22675,"action,indie",Butsbal,"action,indie","multi-player,shared/split screen,cross-platform multiplayer,partial controller support",2.99,False,375330,Xtase Studios,2015
3157,"casual,indie,simulation",Grass Simulator - Soundtrack,"indie,casual,simulation","single-player,downloadable content",2.99,False,341610,"Conor Strejcek,Daniel Davies",2015
16552,"action,adventure,indie",Poi,"3d platformer,indie,adventure,platformer,action,cute,singleplayer,great soundtrack,family friendly","single-player,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",14.99,False,401810,PolyKid,2017
27676,simulation,Construction Scenery Pack,simulation,"single-player,downloadable content,steam achievements,full controller support,steam trading cards,steam workshop,steam cloud,steam leaderboards",4.99,False,256520,RailSimulator.com,2009
14367,simulation,Train Simulator: Network Southeast Class 205 ‘Thumper’ DEMU Add-On,simulation,"single-player,downloadable content,steam achievements,full controller support,steam trading cards,steam workshop,steam cloud,steam leaderboards",19.99,False,500244,Armstrong Powerhouse,2017
2887,"action,free to play,indie,rpg",Destination Sol,"free to play,space,rpg,open world,action,indie,2d,arcade,procedural generation,replay value,rogue-like,difficult,singleplayer,multiplayer,pixel graphics,sci-fi,survival,building,sandbox","single-player,partial controller support,steam cloud",Free to Play,False,342980,MovingBlocks,2015
1890,"action,adventure,indie",Secrets of Rætikon,"indie,adventure,action,puzzle,exploration,open world,singleplayer,metroidvania,flight,2d","single-player,steam achievements,full controller support,steam workshop,includes level editor",9.99,False,246680,Broken Rules,2014
18732,"action,adventure,casual,massively multiplayer,rpg,early access",Redemption,"early access,massively multiplayer,action,adventure,rpg,casual,controller","single-player,multi-player,online multi-player,mmo,co-op,online co-op,steam trading cards,partial controller support",14.99,True,330880,"Move Games Co., Ltd.",2016
6724,"casual,indie,simulation",FourChords Guitar Karaoke - Florida Georgia Line Song Pack,"indie,casual,simulation","single-player,downloadable content,steam achievements,full controller support,steam trading cards",2.99,False,537263,Musopia,2016
26508,"action,adventure",Tomb Raider IV: The Last Revelation,"adventure,action,female protagonist,lara croft,action-adventure,puzzle,third person,third-person shooter,singleplayer,classic",single-player,6.99,False,224980,Core Design,2012
15707,"design &amp,illustration,web publishing",RPG Maker MV - Fantasy Heroine Character Pack,"design & illustration,web publishing","downloadable content,steam trading cards,partial controller support",9.99,False,618700,"KADOKAWA,Yoji Ojima",2017
6331,"casual,indie",Narcissu 10th Anniversary Anthology Project - Zero,"indie,casual,visual novel","single-player,downloadable content",9.99,False,504640,stage-nana,2016
22626,action,DRAGON BALL Z: Resurrection ‘F’ pack,"action,anime","single-player,multi-player,co-op,downloadable content,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",9.99,False,344463,DIMPS,2015
24787,"casual,indie,strategy",Terrorhedron Tower Defense,"tower defense,indie,strategy,casual,multiplayer,great soundtrack,online co-op,co-op","single-player,multi-player,co-op,steam achievements,steam trading cards,steam cloud",1.99,False,299720,Dan Walters,2014
6514,"casual,indie",Log Drive Runner,"indie,casual,runner,score attack,family friendly,great soundtrack","single-player,steam achievements,steam trading cards,partial controller support,steam cloud",6.99,False,464040,Proud Camel Games,2016
839,indie,Indie Game: The Movie,"movie,documentary,indie,great soundtrack,linear,story rich,singleplayer","single-player,steam achievements,steam trading cards,captions available,commentary available",9.99,False,207080,BlinkWorks Media,2012
6663,"casual,indie,simulation",FourChords Guitar Karaoke - Capital Cities Song Pack,"indie,casual,simulation","single-player,downloadable content,steam achievements,full controller support,steam trading cards",2.99,False,535734,Musopia,2016
19633,"action,adventure,casual,indie,massively multiplayer,simulation",BATTLE PIXEL'S SURVIVAL GROUND,"massively multiplayer,adventure,casual,simulation,action,indie,survival,psychological horror","single-player,multi-player,online multi-player,local multi-player,co-op,online co-op,local co-op,cross-platform multiplayer",0.99,False,474790,Semen Rodin,2016
11250,casual,Twinstack,"casual,puzzle","single-player,steam achievements,steam cloud",2.99,False,753560,Correcture Games AB,2017
8710,"action,adventure,casual,indie",Cyberhunt: Original Soundtrack,"action,adventure,indie,casual","single-player,downloadable content,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",0.99,False,636880,NukGames,2017
22662,"action,adventure,indie,racing",Tile Rider,"action,racing,indie,puzzle,adventure,great soundtrack","single-player,steam achievements,full controller support,steam trading cards,steam cloud,stats",3.99,False,356170,7 Soft Pillows,2015
1687,"action,adventure",Saints Row IV - Stone Age Pack,"action,adventure","single-player,co-op,downloadable content,steam achievements,full controller support,steam trading cards,steam cloud",2.99,False,247305,Deep Silver Volition,2014
17912,"action,casual,indie,massively multiplayer",emoj.io - Wacky Pack,"action,massively multiplayer,indie,casual","multi-player,online multi-player,mmo,cross-platform multiplayer,downloadable content,partial controller support",0.99,False,538538,"Hassey Enterprises, Inc.",2016
19234,"action,adventure,indie",The Lady - Wallpaper Pack,"action,adventure,indie","single-player,downloadable content,steam trading cards",Free,False,489330,"MPR ART Hallucinations,Roger Levy",2016
25711,"action,adventure,indie",Stick it to The Man!,"adventure,indie,comedy,action,platformer,puzzle,funny,2d,singleplayer","single-player,steam achievements,steam trading cards,partial controller support,steam cloud",7.99,False,251830,Zoink Games,2013
11561,"indie,rpg,strategy",Fantasy Grounds - Pathfinder RPG - Harrow Deck (PFRPG),"strategy,rpg,indie,turn-based,fantasy,software,utilities,story rich,sandbox","multi-player,co-op,cross-platform multiplayer,downloadable content",22.99,False,770000,"SmiteWorks USA, LLC",2017
15223,"action,indie",Machine Hunt,"action,indie,shooter,fps","single-player,multi-player,online multi-player,co-op,online co-op,cross-platform multiplayer,steam achievements,full controller support,steam trading cards",2.99,False,546930,Racing Bros,2017
15398,"indie,rpg,strategy",Fantasy Grounds - Pathfinder RPG - Kingmaker AP 3: The Varnhold Vanishing (PFRPG),"rpg,indie,strategy,utilities,turn-based,fantasy,story rich,online co-op,software,party-based rpg","multi-player,co-op,cross-platform multiplayer,downloadable content",19.99,False,612580,"SmiteWorks USA, LLC",2017
5178,"action,adventure,rpg",Tom Clancy’s The Division™,"open world,third-person shooter,multiplayer,action,co-op,shooter,rpg,post-apocalyptic,online co-op,survival,massively multiplayer,tactical,third person,mmorpg,adventure,atmospheric,singleplayer,stealth,fps,sandbox","single-player,multi-player,co-op,steam trading cards,in-app purchases",49.99,False,365590,Massive Entertainment,2016
16590,"casual,free to play,indie,simulation,strategy","Sports Skin Bundle (or ""Buy Us Another Coke"") - Trimmer Tycoon","simulation,strategy,indie,casual,free to play","single-player,downloadable content,steam achievements,steam cloud,steam leaderboards",1.99,False,574880,Improx Games,2017
501,strategy,"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",strategy,"single-player,multi-player,co-op,downloadable content,steam cloud,stats,steam leaderboards",2.99,False,56434,"Relic Entertainment,Feral Interactive (Mac/Linux)",2011
1952,action,Descent: FreeSpace – The Great War,"action,space,simulation,sci-fi,classic,space sim,singleplayer","single-player,multi-player,includes level editor",9.99,False,273600,Volition Inc.,2014
1054,action,Hitman: Absolution: Deus Ex (Adam Jensen) Handgun,action,"single-player,downloadable content,steam achievements,partial controller support,steam cloud",0.99,False,216421,Io-Interactive A/S,2012
26476,"action,rpg",Borderlands 2: Collector's Edition Pack,"action,rpg,fps","single-player,co-op,downloadable content,steam achievements,full controller support,steam cloud",4.99,False,213780,"GearBox Software,Aspyr (Mac &amp; Linux)",2012
5318,"casual,simulation",Rocksmith® 2014 – Edgar Winter - “Free Ride”,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",2.99,False,436591,Ubisoft - San Francisco,2016
4410,"action,casual,indie",Car Washer: Summer of the Ninja,"indie,casual,action","single-player,steam achievements,full controller support,steam trading cards,steam cloud",4.99,False,369360,Pen and Sword Games,2015
16795,"casual,simulation",Rocksmith® 2014 Edition – Remastered – The Mamas &amp; The Papas - “California Dreamin’”,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",2.99,False,509697,Ubisoft - San Francisco,2017
3657,"indie,strategy",Star Chronicles: Delta Quadrant,"strategy,indie,rogue-like","single-player,steam achievements,steam trading cards",0.99,False,383330,Alister Software,2015
8837,"action,adventure,indie,rpg",Fight or Die 2,"action,adventure,indie,rpg","single-player,steam trading cards",2.99,False,631530,Vyacheslav Shilikhin,2017
7005,"action,casual,indie",Evil Orbs,"action,casual,indie","single-player,multi-player,online multi-player,local multi-player,shared/split screen,cross-platform multiplayer,steam achievements,steam cloud,steam leaderboards",4.99,False,528420,GoBit Games,2016
3209,"indie,rpg,strategy",Fantasy Grounds - D&amp;D Monster Pack - Constructs &amp; Elementals,"strategy,rpg,indie,turn-based,fantasy,software,party-based rpg,utilities","multi-player,co-op,cross-platform multiplayer,downloadable content",4.99,False,360422,"SmiteWorks USA, LLC",2015
20952,casual,Rubled,"casual,building,base building,mod",single-player,2.99,False,402460,Abrupt Games,2015
21093,"action,rpg",PAYDAY 2: The Point Break Heists,"action,rpg,fps,heist,co-op","single-player,co-op,downloadable content,steam achievements,full controller support,steam trading cards",,False,422400,OVERKILL - a Starbreeze Studio.,2015
18881,"action,adventure,indie",Painted Legend,"action,adventure,indie","single-player,shared/split screen",0.99,False,508730,Vitaliy Shikhovtsev,2016
18312,"adventure,casual,indie,rpg,simulation",Diaries of a Spaceport Janitor,"indie,adventure,casual,simulation,rpg,pixel graphics,female protagonist","single-player,steam achievements,steam trading cards,partial controller support",9.99,False,436500,Sundae Month,2016
2485,"adventure,casual",Disney Fairies: Tinker Bell's Adventure,"adventure,casual,family friendly,fantasy,cartoony,female protagonist,nudity,action","single-player,steam cloud",19.99,False,318350,Gamestar,2014
27202,adventure,Runaway: A Twist of Fate,"adventure,point & click,mystery",single-player,9.99,False,58560,Pendulo Studios,2011
20389,"casual,indie,strategy",Blades of the Righteous,"indie,casual,strategy,turn-based combat,turn-based strategy,fantasy,tactical,rpg,strategy rpg,rogue-lite","single-player,steam achievements,steam trading cards,steam cloud",2.99,False,421140,"Vladimir Slav,Coldwild Games",2016
2415,"casual,free to play,indie,massively multiplayer,strategy",My Lands: Miner’s Luck - Extended DLC Pack,"strategy,free to play,massively multiplayer,indie,casual","mmo,downloadable content",49.99,False,316510,"Gravvit Ltd,Forbes  Consult Ltd",2014
8033,"adventure,indie",LEAVES - The Journey,"indie,adventure,puzzle","single-player,steam achievements,steam trading cards,steam cloud",7.99,False,569800,ZAR 21,2017
25322,action,Call of Duty®: Black Ops II - Dead Man's Hand Personalization Pack,action,"single-player,multi-player,co-op,downloadable content,steam achievements,full controller support,steam cloud,steam leaderboards",1.99,False,274120,Treyarch,2014
20437,"action,indie,strategy",Armed and Gelatinous,"action,indie,strategy,4 player local,local multiplayer","multi-player,local multi-player,co-op,local co-op,shared/split screen,steam achievements,full controller support",,False,446510,Three Flip Studios,2016
17317,"casual,indie",TWIN BROS,"casual,indie","single-player,steam trading cards",1.99,False,551670,Smit Parmar,2016
23593,indie,Cubicity,"indie,puzzle,adventure,puzzle-platformer","single-player,steam achievements,full controller support,steam trading cards",2.99,False,335550,Bubble Head Games,2015
6743,action,DEAD OR ALIVE 5 Last Round: Core Fighters Character: Leifang,action,"single-player,multi-player,downloadable content,steam achievements,partial controller support",3.99,False,531152,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2016
26873,action,Street Fighter X Tekken: Hwoarang (Swap Costume),action,"single-player,multi-player,downloadable content",0.99,False,210059,"Capcom U.S.A., Inc.",2012
1048,racing,F1 Race Stars - Princess Accessory Pack,racing,"single-player,multi-player,co-op,shared/split screen,downloadable content,steam achievements,partial controller support,steam cloud",0.99,False,220804,Codemasters Birmingham,2012
1831,"casual,simulation,strategy",Gardens Inc. – From Rakes to Riches,"casual,simulation,strategy,agriculture",single-player,9.99,False,279420,"World-Loom,Nitreal",2014
2070,"action,casual,indie",Galactic Arms Race,"indie,action,casual,space","single-player,multi-player,co-op,steam achievements,steam trading cards,steam cloud,stats",2.99,False,249610,Evolutionary Games,2014
3166,"indie,strategy",War for the Overworld - Underlord Edition Upgrade,"strategy,indie","single-player,multi-player,online multi-player,cross-platform multiplayer,downloadable content,steam achievements,steam trading cards,captions available,steam workshop,steam cloud,steam leaderboards,includes level editor",9.99,False,239391,Brightrock Games,2015
13517,"adventure,indie,rpg",HIVESWAP: Act 1 Original Soundtrack,"adventure,rpg,indie","single-player,downloadable content,steam achievements,steam trading cards",7.99,False,680910,"What Pumpkin Games, Inc.",2017
15585,strategy,Romance of the Three Kingdoms Ⅴ with Power Up Kit / 三國志Ⅴ with パワーアップキット,strategy,"single-player,steam cloud",19.99,False,521750,"KOEI TECMO GAMES CO., LTD.",2017
